merchant_id,customer_id,amount,currency,payment_method,failure_type,retry_count,customer_total_transactions,customer_successful_transactions,customer_failed_transactions,customer_success_rate,customer_total_spend,days_since_last_success,checkout_duration_seconds,hour_of_day,day_of_week,merchant_category,customer_segment,recovered_within_window
merch_13,cust_245,10167.21,INR,upi,RISK_REJECTED,0,4,3,1,0.6485,2171.1,16.5,22.6,17,0,saas,regular,0
merch_9,cust_818,996.07,INR,upi,INSUFFICIENT_FUNDS,0,36,32,4,0.8913,48632.3,53.3,42.1,12,2,saas,regular,0
merch_15,cust_526,2442.74,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,18,18,0,0.9726,32538.57,35.6,23.6,13,1,ecommerce,new,1
merch_13,cust_528,5067.18,INR,card,TRANSIENT_NETWORK_TIMEOUT,1,19,17,2,0.872,54630.18,6.9,39.2,12,1,ecommerce,new,1
merch_1,cust_950,2892.42,INR,card,TRANSIENT_NETWORK_TIMEOUT,0,36,31,5,0.8586,52560.8,4.4,66.2,21,4,utility,regular,1
merch_7,cust_427,3576.3,INR,card,INSUFFICIENT_FUNDS,0,9,7,2,0.8159,18552.7,2.4,133.8,17,1,gaming,regular,1
merch_9,cust_42,674.57,INR,wallet,INSUFFICIENT_FUNDS,0,26,20,6,0.7734,63861.8,1.0,20.4,16,4,saas,regular,1
merch_1,cust_465,1808.43,INR,card,RISK_REJECTED,2,2,1,1,0.7358,4839.34,25.3,35.9,1,6,gaming,vip,0
merch_12,cust_622,4151.81,INR,upi,INVALID_ACCOUNT,2,3,1,2,0.464,3409.08,33.3,78.6,4,1,ecommerce,new,0
merch_8,cust_278,874.08,INR,netbanking,INSUFFICIENT_FUNDS,1,28,14,14,0.4882,52038.88,27.2,51.7,12,6,ecommerce,vip,1
merch_11,cust_836,2362.76,INR,netbanking,AUTHENTICATION_FAILED,3,45,29,16,0.6427,59615.68,6.5,29.0,12,0,utility,regular,0
merch_19,cust_19,3164.19,INR,upi,INSUFFICIENT_FUNDS,0,20,8,12,0.4246,19578.37,17.8,70.4,17,3,education,vip,1
merch_17,cust_66,5501.16,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,19,14,5,0.7345,15524.54,2.2,9.9,10,5,ecommerce,new,1
merch_8,cust_167,903.24,INR,netbanking,INVALID_ACCOUNT,3,19,10,9,0.5311,20355.73,18.0,28.6,12,6,saas,vip,0
merch_3,cust_585,13423.15,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,41,33,8,0.8054,27862.83,6.2,68.2,23,5,utility,new,1
merch_3,cust_403,12034.88,INR,card,CARD_EXPIRED,0,37,21,16,0.5561,45615.02,5.5,48.8,20,6,education,vip,1
merch_1,cust_912,93.29,INR,netbanking,INSUFFICIENT_FUNDS,0,15,6,9,0.4243,22854.06,23.2,39.9,14,2,utility,new,1
merch_5,cust_822,1655.91,INR,upi,INSUFFICIENT_FUNDS,1,41,30,11,0.7341,109314.79,17.3,34.9,11,4,ecommerce,at_risk,0
merch_10,cust_409,295.88,INR,card,CARD_EXPIRED,1,6,3,3,0.5019,9181.25,16.9,57.2,18,1,education,regular,0
merch_7,cust_112,1385.68,INR,upi,INSUFFICIENT_FUNDS,0,42,28,14,0.6671,74395.56,15.6,27.2,11,6,gaming,new,0
merch_9,cust_274,3319.37,INR,upi,CARD_EXPIRED,2,1,1,0,0.7983,4209.89,11.1,58.5,11,0,education,new,0
merch_7,cust_407,3334.31,INR,card,INSUFFICIENT_FUNDS,1,13,7,6,0.5389,34556.27,2.6,62.0,18,2,saas,new,1
merch_9,cust_373,405.81,INR,upi,RISK_REJECTED,0,49,47,2,0.9684,233477.63,4.2,32.4,1,3,gaming,new,0
merch_8,cust_597,4006.64,INR,card,AUTHENTICATION_FAILED,0,46,36,10,0.7756,20906.23,11.9,40.9,18,3,gaming,regular,1
merch_12,cust_651,6605.52,INR,upi,INSUFFICIENT_FUNDS,3,3,2,1,0.546,1980.62,21.3,78.0,8,2,saas,regular,0
merch_2,cust_39,3540.92,INR,upi,AUTHENTICATION_FAILED,0,45,39,6,0.866,82717.67,14.3,114.2,13,5,gaming,at_risk,1
merch_1,cust_105,1348.55,INR,upi,INSUFFICIENT_FUNDS,1,8,5,3,0.6472,16770.43,7.0,88.4,9,0,ecommerce,regular,1
merch_16,cust_324,58.74,INR,netbanking,CARD_EXPIRED,0,23,15,8,0.6316,49964.6,13.6,19.3,18,0,education,at_risk,0
merch_5,cust_793,3708.5,INR,upi,CARD_EXPIRED,0,28,23,5,0.8158,101127.43,5.5,51.0,5,5,education,regular,1
merch_3,cust_959,4013.54,INR,upi,INSUFFICIENT_FUNDS,0,33,32,1,0.9807,93175.11,12.5,86.5,22,2,saas,regular,0
merch_12,cust_992,4367.5,INR,card,CARD_EXPIRED,1,34,13,21,0.3698,20921.57,20.8,75.0,14,0,ecommerce,new,0
merch_8,cust_414,190.18,INR,card,INSUFFICIENT_FUNDS,1,34,30,4,0.8867,34982.81,2.4,31.3,6,1,gaming,new,1
merch_3,cust_429,2593.09,INR,upi,TRANSIENT_NETWORK_TIMEOUT,1,25,20,5,0.8125,54567.69,1.0,48.1,3,3,education,regular,1
merch_1,cust_635,1917.13,INR,wallet,AUTHENTICATION_FAILED,3,41,32,9,0.7792,157003.99,7.2,48.0,0,2,education,vip,1
merch_3,cust_730,5153.74,INR,emi,AUTHENTICATION_FAILED,2,1,1,0,0.655,3185.38,19.4,21.6,20,0,education,new,0
merch_5,cust_889,4539.16,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,43,33,10,0.7594,29504.22,1.7,43.2,21,0,education,at_risk,1
merch_15,cust_61,10581.63,INR,upi,AUTHENTICATION_FAILED,0,7,6,1,0.8375,4260.06,74.1,73.6,7,1,utility,regular,1
merch_14,cust_612,8022.97,INR,wallet,INSUFFICIENT_FUNDS,1,38,10,28,0.2703,36420.09,21.5,87.6,4,6,saas,regular,0
merch_3,cust_307,2907.61,INR,upi,TRANSIENT_NETWORK_TIMEOUT,1,28,20,8,0.7194,73253.09,17.4,32.5,1,3,gaming,regular,1
merch_1,cust_354,13826.02,INR,netbanking,INSUFFICIENT_FUNDS,0,17,5,12,0.2751,15969.4,7.1,32.0,19,0,gaming,at_risk,1
merch_5,cust_393,619.69,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,38,34,4,0.885,125226.75,23.8,29.8,4,5,saas,vip,1
merch_14,cust_204,75.15,INR,card,TRANSIENT_NETWORK_TIMEOUT,0,48,25,23,0.5215,41870.83,6.1,83.6,7,0,ecommerce,regular,0
merch_7,cust_258,449.36,INR,emi,CARD_EXPIRED,1,30,13,17,0.4416,33590.36,8.7,54.5,21,6,saas,regular,1
merch_9,cust_486,1585.37,INR,upi,TRANSIENT_NETWORK_TIMEOUT,2,1,1,0,0.5197,2976.83,1.0,32.4,3,3,education,regular,1
merch_15,cust_517,4976.45,INR,upi,INSUFFICIENT_FUNDS,0,28,15,13,0.5216,13812.37,53.2,47.9,17,6,education,regular,1
merch_15,cust_446,1740.48,INR,card,INSUFFICIENT_FUNDS,2,36,26,10,0.7287,121854.27,13.4,74.1,15,5,saas,regular,1
merch_10,cust_709,5359.04,INR,wallet,INVALID_ACCOUNT,1,18,12,6,0.6665,43285.22,3.8,65.7,9,0,saas,new,0
merch_13,cust_180,4802.44,INR,upi,AUTHENTICATION_FAILED,0,2,1,1,0.6203,4416.03,13.8,27.9,14,1,gaming,regular,1
merch_19,cust_342,5585.53,INR,wallet,TRANSIENT_NETWORK_TIMEOUT,2,33,25,8,0.7452,26625.43,20.9,86.9,2,5,gaming,regular,1
merch_7,cust_133,775.76,INR,card,RISK_REJECTED,3,7,3,4,0.4561,7730.23,20.4,66.8,14,4,utility,regular,0
merch_17,cust_443,2590.09,INR,emi,INSUFFICIENT_FUNDS,0,48,32,16,0.673,136090.76,0.0,58.0,0,2,utility,at_risk,1
merch_20,cust_836,4415.2,INR,card,INSUFFICIENT_FUNDS,0,45,27,18,0.6102,100385.08,20.0,41.3,19,0,education,new,1
merch_4,cust_253,1220.12,INR,card,TRANSIENT_NETWORK_TIMEOUT,3,50,30,20,0.5972,93024.41,10.4,44.6,10,2,utility,vip,1
merch_5,cust_265,6421.13,INR,netbanking,INVALID_ACCOUNT,0,39,33,6,0.8352,18361.0,23.8,27.0,20,5,utility,vip,0
merch_7,cust_93,5338.52,INR,upi,INSUFFICIENT_FUNDS,3,18,12,6,0.6701,35500.37,3.1,37.8,23,4,ecommerce,regular,0
merch_13,cust_662,496.93,INR,wallet,RISK_REJECTED,0,7,5,2,0.7049,10035.99,4.5,52.6,17,2,saas,new,0
merch_15,cust_411,910.15,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,4,4,0,0.8891,2738.94,0.7,64.6,17,2,gaming,regular,1
merch_11,cust_138,998.45,INR,upi,INSUFFICIENT_FUNDS,0,17,5,12,0.2954,8759.41,5.4,48.2,7,3,utility,regular,1
merch_4,cust_208,7426.77,INR,card,TRANSIENT_NETWORK_TIMEOUT,0,19,10,9,0.5389,40160.86,7.3,18.4,22,6,gaming,new,1
merch_13,cust_637,773.41,INR,upi,INSUFFICIENT_FUNDS,0,5,4,1,0.7251,19664.18,2.9,22.1,1,3,utility,regular,1
merch_7,cust_746,3455.91,INR,netbanking,CARD_EXPIRED,0,39,34,5,0.8683,79954.07,15.9,56.5,7,6,utility,regular,0
merch_19,cust_573,284.9,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,0,38,13,25,0.3387,12132.53,33.0,49.6,22,4,education,vip,1
merch_2,cust_307,2864.32,INR,upi,TRANSIENT_NETWORK_TIMEOUT,2,37,24,13,0.6544,110940.6,0.6,35.1,6,4,ecommerce,regular,1
merch_10,cust_266,582.98,INR,upi,AUTHENTICATION_FAILED,2,13,12,1,0.8866,9671.99,5.6,20.1,15,4,saas,regular,1
merch_13,cust_646,3048.92,INR,card,TRANSIENT_NETWORK_TIMEOUT,1,12,11,1,0.9344,21366.34,2.4,24.5,5,0,saas,regular,1
merch_6,cust_318,1654.9,INR,wallet,INSUFFICIENT_FUNDS,1,37,16,21,0.4424,19797.69,1.2,34.3,17,5,education,at_risk,0
merch_12,cust_113,3307.1,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,0,4,3,1,0.7973,4903.48,3.5,43.8,5,2,education,vip,1
merch_12,cust_901,1805.62,INR,upi,CARD_EXPIRED,2,25,19,6,0.7787,65347.16,10.2,61.4,11,3,saas,regular,0
merch_20,cust_378,6791.6,INR,emi,TRANSIENT_NETWORK_TIMEOUT,2,31,24,7,0.7685,16709.01,12.2,81.7,16,3,saas,regular,0
merch_11,cust_454,5001.11,INR,upi,CARD_EXPIRED,0,40,22,18,0.5592,48768.86,1.5,43.9,7,0,ecommerce,regular,0
merch_7,cust_191,6568.44,INR,upi,AUTHENTICATION_FAILED,0,15,10,5,0.6582,5212.19,33.9,14.6,21,0,utility,new,1
merch_1,cust_891,928.84,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,28,25,3,0.8829,59139.91,3.4,29.7,10,0,ecommerce,new,1
merch_1,cust_440,613.94,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,11,7,4,0.6746,18089.78,19.8,19.5,8,1,saas,at_risk,1
merch_20,cust_187,2902.29,INR,card,INVALID_ACCOUNT,0,29,26,3,0.8969,110370.38,15.3,44.9,10,0,utility,regular,0
merch_13,cust_831,7267.9,INR,card,INSUFFICIENT_FUNDS,2,5,4,1,0.8182,11121.06,22.0,33.5,15,4,saas,vip,0
merch_9,cust_367,460.32,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,0,43,24,19,0.561,29057.43,8.4,13.5,0,2,ecommerce,vip,0
merch_3,cust_89,982.5,INR,card,TRANSIENT_NETWORK_TIMEOUT,0,42,28,14,0.6776,89803.77,16.6,14.7,12,4,ecommerce,regular,1
merch_7,cust_187,4846.45,INR,upi,TRANSIENT_NETWORK_TIMEOUT,1,2,2,0,0.862,3259.36,30.3,31.6,5,1,ecommerce,regular,1
merch_6,cust_819,2241.57,INR,card,INSUFFICIENT_FUNDS,1,20,13,7,0.6519,36370.86,1.9,47.5,2,1,utility,new,1
merch_8,cust_946,3287.45,INR,upi,INSUFFICIENT_FUNDS,0,22,12,10,0.5557,20514.12,13.6,27.3,2,0,gaming,regular,1
merch_9,cust_132,3185.6,INR,card,AUTHENTICATION_FAILED,0,40,38,2,0.959,61240.85,10.1,64.8,18,4,gaming,at_risk,1
merch_5,cust_872,1910.71,INR,upi,CARD_EXPIRED,0,27,19,8,0.6866,77148.04,8.3,15.8,2,2,saas,regular,0
merch_1,cust_635,4331.07,INR,upi,INSUFFICIENT_FUNDS,2,21,6,15,0.2868,16702.1,34.7,37.6,5,3,utility,regular,1
merch_19,cust_560,6743.27,INR,upi,TRANSIENT_NETWORK_TIMEOUT,0,20,13,7,0.6693,51954.69,81.9,49.2,1,3,education,regular,1
merch_10,cust_800,8391.65,INR,wallet,AUTHENTICATION_FAILED,0,32,12,20,0.3648,29355.35,7.0,101.7,21,1,gaming,regular,0
merch_12,cust_376,216.33,INR,card,INSUFFICIENT_FUNDS,0,36,18,18,0.5045,33466.49,8.9,45.8,8,5,utility,new,0
merch_15,cust_691,2872.94,INR,wallet,RISK_REJECTED,0,48,43,5,0.8935,124552.97,12.8,29.0,7,5,utility,vip,0
merch_9,cust_692,194.23,INR,upi,AUTHENTICATION_FAILED,0,46,29,17,0.6405,122705.6,11.0,65.7,20,1,gaming,new,0
merch_20,cust_99,8141.75,INR,emi,TRANSIENT_NETWORK_TIMEOUT,1,3,2,1,0.665,1961.9,12.5,66.5,18,0,utility,regular,1
merch_17,cust_842,2012.91,INR,upi,INSUFFICIENT_FUNDS,0,8,5,3,0.647,24358.22,1.0,62.1,3,1,utility,new,1
merch_17,cust_34,8127.49,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,1,30,23,7,0.7562,64625.68,13.9,34.1,12,3,gaming,new,1
merch_20,cust_932,777.53,INR,upi,INSUFFICIENT_FUNDS,0,4,3,1,0.7067,7763.99,14.5,41.6,13,2,ecommerce,regular,0
merch_12,cust_582,670.13,INR,upi,AUTHENTICATION_FAILED,0,7,4,3,0.5222,19455.57,28.4,13.1,4,5,saas,regular,1
merch_7,cust_171,8413.24,INR,netbanking,INSUFFICIENT_FUNDS,0,24,10,14,0.4235,20888.64,10.3,25.9,15,2,education,vip,0
merch_2,cust_366,9803.44,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,0,9,7,2,0.7629,16368.44,4.4,40.7,1,1,saas,regular,1
merch_3,cust_784,5145.35,INR,netbanking,CARD_EXPIRED,0,34,16,18,0.4809,17705.26,9.8,27.1,1,3,ecommerce,vip,1
merch_17,cust_59,928.71,INR,upi,TRANSIENT_NETWORK_TIMEOUT,1,35,18,17,0.5248,80815.43,9.8,31.7,5,0,ecommerce,regular,1
merch_5,cust_181,710.54,INR,card,TRANSIENT_NETWORK_TIMEOUT,2,9,6,3,0.6992,29466.86,14.5,23.2,16,4,utility,vip,1
merch_17,cust_19,4874.32,INR,upi,INSUFFICIENT_FUNDS,0,39,34,5,0.878,41113.36,9.7,22.7,2,1,saas,at_risk,1
merch_17,cust_226,3575.34,INR,upi,AUTHENTICATION_FAILED,1,15,11,4,0.7338,52485.0,7.1,70.4,11,5,ecommerce,regular,1
merch_17,cust_473,7247.13,INR,netbanking,AUTHENTICATION_FAILED,0,49,25,24,0.5017,13424.35,27.5,118.4,22,6,saas,at_risk,0
merch_2,cust_95,1184.3,INR,card,INSUFFICIENT_FUNDS,0,12,8,4,0.6915,30528.24,49.8,48.1,3,0,ecommerce,vip,1
merch_2,cust_881,1275.22,INR,emi,AUTHENTICATION_FAILED,3,4,3,1,0.8367,10257.41,10.9,94.1,3,0,education,regular,0
merch_5,cust_297,4654.01,INR,upi,TRANSIENT_NETWORK_TIMEOUT,2,17,16,1,0.9266,12473.58,13.8,33.8,1,1,ecommerce,regular,1
merch_1,cust_593,1141.28,INR,emi,TRANSIENT_NETWORK_TIMEOUT,0,9,7,2,0.7759,4775.4,14.1,68.1,2,6,saas,regular,1
merch_1,cust_175,2222.09,INR,card,AUTHENTICATION_FAILED,2,31,28,3,0.9158,21266.01,10.3,25.4,10,5,utility,new,0
merch_19,cust_222,2619.93,INR,card,TRANSIENT_NETWORK_TIMEOUT,0,30,23,7,0.7583,98403.74,1.5,33.6,16,6,saas,at_risk,0
merch_2,cust_615,3921.68,INR,upi,TRANSIENT_NETWORK_TIMEOUT,2,38,31,7,0.8062,90729.34,0.7,31.8,9,5,gaming,regular,1
merch_12,cust_54,1527.63,INR,netbanking,TRANSIENT_NETWORK_TIMEOUT,2,18,4,14,0.2106,16120.7,27.4,49.2,7,3,saas,at_risk,0
